param_id,fam_duration,violation_type,sample_n_mean,sample_n_std,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
83,0,background,73.45,41.98680870539172,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,63.85,26.002580843568506,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
71,0,background,79.9,33.77931475419769,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,61.1,27.60034324729352,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,58.15,29.245377502490168,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,70.6,29.79296985249337,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,68.4,36.31064799607323,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,64.75,31.242472777665313,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,58.95,26.98435219081412,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,68.7,26.852619199898115,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,65.9,28.484344730690964,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,80.8,43.472435307663034,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,60.9,31.427276118214987,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,74.5,34.861379626653964,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,65.95,27.180633585427383,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,69.55,33.236750427010286,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,60.7,41.50979592692232,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
55,0,background,78.55,66.86079411339416,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,57.1,54.43576610629217,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,71.15,43.49987900769622,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,84.8,64.31059501807573,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,55.45,32.93130809171689,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,53.35,36.619343464751985,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,56.9,65.34757274113473,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,48.05,37.72542769455162,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,43,34.15136585077798,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,36.3,28.517953717097697,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
83,0,background,38.35,32.78201528759008,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,35.1,24.70648753497327,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,42.25,33.90058996536786,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,41.3,26.30209117161599,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,53.35,36.2146742575292,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,46.95,34.31353116560042,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,48.25,47.51163292455748,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,33.95,25.05252377243501,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,28.75,21.316845327975766,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,56,38,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
71,0,background,47.75,34.14192514536312,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,39.45,32.52929853467324,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,57.45,32.096031891152755,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,54.4,31.255146944564437,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
