experiment,subject_num,fam_duration,age,sex,SubjectInfo.sessionNumber,fam_or_test,test_type,animal,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,LT,block_num,exclude,is_violation
7,PKBB_33,9,221,M,1,test,number,6,3,0.7736437889805152,21.139,False,,13.559,2,FALSE,TRUE
7,PKBB_33,9,221,M,1,test,background,5,7,0.9505571296969924,13.175,False,,12.327,4,FALSE,FALSE
7,PKBB_34,8,215,F,1,test,number,2,1,0.8570422183881913,36.163,False,,21.79300000000001,1,FALSE,TRUE
7,PKBB_34,8,215,F,1,test,background,5,3,0.5491867655799503,18.66,False,,8.668,2,FALSE,FALSE
7,PKBB_34,9,215,F,1,test,identity,4,5,0.6797996576437875,23.032,False,,10.841,3,FALSE,TRUE
7,PKBB_34,9,215,F,1,test,pose,6,7,0.5854056088761851,22.897,False,,15.488,4,FALSE,TRUE
7,PKBB_35,8,211,M,1,test,animacy,2,1,0.5802006814002049,60,False,,19.422999999999995,1,FALSE,TRUE
7,PKBB_35,8,211,M,1,test,pose,4,5,0.5456228472240207,29.862,False,,13.052999999999995,3,FALSE,TRUE
7,PKBB_35,9,211,M,1,test,identity,6,3,0.5110886186080829,35.012,False,,23.753,2,FALSE,TRUE
7,PKBB_36,8,261,F,1,test,identity,5,1,0.7541566621591425,30.055,False,,9.392,1,FALSE,TRUE
7,PKBB_36,8,261,F,1,test,number,2,7,0.9820671253734164,8.234,False,,8.234,4,FALSE,TRUE
7,PKBB_36,9,261,F,1,test,pose,3,3,0.9798043831653542,17.736,False,,6.649000000000001,2,FALSE,TRUE
7,PKBB_36,9,261,F,1,test,background,1,5,0.938132778548462,10.188,False,,10.188,3,FALSE,FALSE
7,PKBB_37,8,264,F,1,test,identity,4,7,0.5451357754988548,14.359000000000002,False,,3.886,4,FALSE,TRUE
7,PKBB_37,9,264,F,1,test,animacy,2,5,0.7220706533293973,26.075,False,,9.250999999999998,3,FALSE,TRUE
7,PKBB_38,8,219,M,1,test,background,4,1,0.7269854268739332,18.991,False,,9.724999999999998,1,FALSE,FALSE
7,PKBB_38,8,219,M,1,test,identity,2,5,0.5726571829418038,11.96,False,,9.101,3,FALSE,TRUE
7,PKBB_38,9,219,M,1,test,number,3,3,0.8584059772986897,36.924,False,,22.303,2,FALSE,TRUE
7,PKBB_39,8,216,M,1,test,background,3,1,0.8230526233214659,33.552,False,,29.397,1,FALSE,FALSE
7,PKBB_39,9,216,M,1,test,pose,6,5,0.6636692995407726,14.505999999999998,False,,12.338,3,FALSE,TRUE
7,PKBB_40,8,217,F,1,test,pose,4,1,0.7617872351944649,16.955,False,,10.521999999999997,1,FALSE,TRUE
7,PKBB_41,8,290,F,1,test,background,4,5,0.6301255747267389,44.06800000000001,False,,42.07,3,FALSE,FALSE
7,PKBB_41,8,290,F,1,test,pose,2,7,0.7687877049767273,26.627,False,,24.539,4,FALSE,TRUE
7,PKBB_41,9,290,F,1,test,number,3,1,0.7233193305202242,37.398,False,,36.759,1,FALSE,TRUE
7,PKBB_41,9,290,F,1,test,identity,6,3,0.7072773159450938,57.842,False,,37.478,2,FALSE,TRUE
7,PKBB_42,8,282,M,1,test,identity,2,5,0.924061244646372,20.689,False,,19.737,3,FALSE,TRUE
7,PKBB_42,8,282,M,1,test,number,6,7,0.7328898813361472,23.549,False,,8.811000000000002,4,FALSE,TRUE
7,PKBB_42,9,282,M,1,test,animacy,3,1,0.9791718387197292,22.265,False,,20.866,1,FALSE,TRUE
7,PKBB_42,9,282,M,1,test,background,4,3,0.9327724630242088,9.932,False,,9.932,2,FALSE,FALSE
7,PKBB_43,8,275,F,1,test,identity,2,1,0.6706476893256749,36.126,False,,33.274,1,FALSE,TRUE
7,PKBB_43,9,275,F,1,test,background,3,3,0.6362094445717339,31.095,False,,22.629,2,FALSE,FALSE
