subject_num,age,sex,SubjectInfo.sessionNumber,Trials.trialType,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,LT,experiment,trial_type,pose,block_num,exclude
PKBB_24,311,F,1,stimuli/images/unity_stims/veggie_06_nopose_single_new.mp4,5,0.5739721695460924,26.378,False,,20.729,6,veggie,no_pose,6,FALSE
PKBB_25,221,M,1,stimuli/images/unity_stims/animate_04_left_pair_new.mp4,0,0.902909851933134,60,False,,58.161,6,animal pair,left,1,FALSE
PKBB_25,221,M,1,stimuli/images/unity_stims/animate_03_right_single_new.mp4,1,0.8173569964540347,26.282,False,,19.703000000000007,6,single animal,right,2,FALSE
PKBB_25,221,M,1,stimuli/images/unity_stims/veggie_06_nopose_single_new.mp4,2,0.8415547332217082,18.433,False,,8.488999999999999,6,veggie,no_pose,3,FALSE
PKBB_25,221,M,1,stimuli/images/unity_stims/animate_05_right_pair_new.mp4,3,0.7954040432156441,35.261,False,,8.966000000000003,6,animal pair,right,4,FALSE
PKBB_25,221,M,1,stimuli/images/unity_stims/animate_01_left_single_new.mp4,4,0.6678748856533311,23.075,False,,17.272000000000002,6,single animal,left,5,FALSE
PKBB_25,221,M,1,stimuli/images/unity_stims/veggie_02_nopose_single_new.mp4,5,0.701833816132271,34.855,False,,11.407,6,veggie,no_pose,6,FALSE
PKBB_26,329,M,1,stimuli/images/unity_stims/animate_03_left_single_new.mp4,0,NA,38.411,False,,38.411,6,single animal,left,1,FALSE
PKBB_26,329,M,1,stimuli/images/unity_stims/animate_03_left_single_new.mp4,0,NA,38.411,True,trial contains an error in coded look-types,38.411,6,single animal,left,1,TRUE
PKBB_26,329,M,1,stimuli/images/unity_stims/veggie_02_nopose_single_new.mp4,1,NA,36.674,False,,36.674,6,veggie,no_pose,2,FALSE
PKBB_26,329,M,1,stimuli/images/unity_stims/veggie_01_nopose_single_new.mp4,2,NA,21.106,False,,21.106,6,veggie,no_pose,3,FALSE
PKBB_26,329,M,1,stimuli/images/unity_stims/animate_05_left_pair_new.mp4,3,NA,23.323,False,,23.323,6,animal pair,left,4,FALSE
PKBB_26,329,M,1,stimuli/images/unity_stims/animate_06_right_pair_new.mp4,4,NA,51.82,False,,NA,6,animal pair,right,5,TRUE
PKBB_26,329,M,1,stimuli/images/unity_stims/animate_04_right_single_new.mp4,5,NA,25.865,False,,25.865,6,single animal,right,6,FALSE
PKBB_27,255,M,1,stimuli/images/unity_stims/veggie_01_nopose_single_new.mp4,0,0.4940395466549921,60,False,,52.518,6,veggie,no_pose,1,FALSE
PKBB_27,255,M,1,stimuli/images/unity_stims/animate_04_left_single_new.mp4,1,0.6345931491692259,48.46,False,,36.71200000000001,6,single animal,left,2,FALSE
PKBB_27,255,M,1,stimuli/images/unity_stims/animate_05_right_pair_new.mp4,2,0.9185376475631436,32.641,False,,8.548000000000002,6,animal pair,right,3,FALSE
PKBB_27,255,M,1,stimuli/images/unity_stims/veggie_02_nopose_single_new.mp4,3,0.6485336289669958,38.459,False,,32.202,6,veggie,no_pose,4,FALSE
PKBB_27,255,M,1,stimuli/images/unity_stims/animate_06_right_single_new.mp4,4,0.6363535674057563,32.531,False,,23.436,6,single animal,right,5,FALSE
PKBB_27,255,M,1,stimuli/images/unity_stims/animate_03_left_pair_new.mp4,5,0.8306047208685655,25.799,False,,16.852999999999998,6,animal pair,left,6,FALSE
PKBB_28,244,M,1,stimuli/images/unity_stims/animate_01_right_pair_new.mp4,0,0.9448512680928296,35.133,False,,30.870000000000005,6,animal pair,right,1,FALSE
PKBB_28,244,M,1,stimuli/images/unity_stims/veggie_04_nopose_single_new.mp4,1,0.3847300888086019,60,False,,55.40600000000001,6,veggie,no_pose,2,FALSE
PKBB_28,244,M,1,stimuli/images/unity_stims/animate_02_right_single_new.mp4,2,0.596514320005844,60,False,,58.003,6,single animal,right,3,FALSE
PKBB_28,244,M,1,stimuli/images/unity_stims/animate_05_left_single_new.mp4,3,0.3980692993604542,48.784,False,,48.784,6,single animal,left,4,FALSE
PKBB_28,244,M,1,stimuli/images/unity_stims/animate_06_left_pair_new.mp4,4,NA,43.918,False,,43.918,6,animal pair,left,5,FALSE
PKBB_28,244,M,1,stimuli/images/unity_stims/veggie_03_nopose_single_new.mp4,5,NA,49.927,False,,49.927,6,veggie,no_pose,6,FALSE
PKBB_29,299,F,1,stimuli/images/unity_stims/animate_06_right_single_new.mp4,0,0.5682703179441853,47.688,False,,6.8700000000000045,6,single animal,right,1,FALSE
PKBB_29,299,F,1,stimuli/images/unity_stims/animate_04_right_pair_new.mp4,1,0.7749271757254746,19.19400000000001,False,,5.484999999999999,6,animal pair,right,2,FALSE
PKBB_29,299,F,1,stimuli/images/unity_stims/animate_02_left_pair_new.mp4,2,0.5833658555559084,23.644,False,,3.693999999999999,6,animal pair,left,3,FALSE
PKBB_29,299,F,1,stimuli/images/unity_stims/veggie_03_nopose_single_new.mp4,3,0.5757413582334703,51.974,False,,13.882000000000003,6,veggie,no_pose,4,FALSE
PKBB_29,299,F,1,stimuli/images/unity_stims/veggie_05_nopose_single_new.mp4,4,0.7719582427800417,29.737,False,,6.616999999999997,6,veggie,no_pose,5,FALSE
PKBB_29,299,F,1,stimuli/images/unity_stims/animate_01_left_single_new.mp4,5,0.8314212098560834,25.395,False,,7.338000000000001,6,single animal,left,6,FALSE
PKBB_30,321,F,1,stimuli/images/unity_stims/veggie_01_nopose_single_new.mp4,0,0.9308316365730228,19.64,False,,16.71,6,veggie,no_pose,1,FALSE
PKBB_30,321,F,1,stimuli/images/unity_stims/animate_02_left_pair_new.mp4,1,0.6911315844312534,27.718000000000004,False,,22.926,6,animal pair,left,2,FALSE
PKBB_30,321,F,1,stimuli/images/unity_stims/animate_04_left_single_new.mp4,2,0.8475866886871787,19.729,False,,15.63,6,single animal,left,3,FALSE
PKBB_30,321,F,1,stimuli/images/unity_stims/animate_03_right_single_new.mp4,3,0.9487615435703955,25.706,False,,11.140999999999998,6,single animal,right,4,FALSE
PKBB_30,321,F,1,stimuli/images/unity_stims/veggie_06_nopose_single_new.mp4,4,0.9453829096896308,17.756,False,,6.043000000000001,6,veggie,no_pose,5,FALSE
PKBB_30,321,F,1,stimuli/images/unity_stims/animate_05_right_pair_new.mp4,5,0.984379908234748,29.123,False,,6.349,6,animal pair,right,6,FALSE
PKBB_31,247,F,1,stimuli/images/unity_stims/animate_03_left_single_new.mp4,0,0.6232528365176657,60,False,,52.849,6,single animal,left,1,FALSE
PKBB_31,247,F,1,stimuli/images/unity_stims/veggie_05_nopose_single_new.mp4,1,0.7324967128889901,35.745,False,,33.547,6,veggie,no_pose,2,FALSE
PKBB_31,247,F,1,stimuli/images/unity_stims/veggie_04_nopose_single_new.mp4,2,NA,55.121,False,,55.121,6,veggie,no_pose,3,FALSE
PKBB_31,247,F,1,stimuli/images/unity_stims/animate_06_left_pair_new.mp4,3,NA,60,False,,60,6,animal pair,left,4,FALSE
PKBB_31,247,F,1,stimuli/images/unity_stims/animate_02_right_pair_new.mp4,4,NA,32.58,False,,32.58,6,animal pair,right,5,FALSE
PKBB_31,247,F,1,stimuli/images/unity_stims/animate_01_right_single_new.mp4,5,NA,21.377,False,,21.377,6,single animal,right,6,TRUE
PKBB_32,310,M,1,stimuli/images/unity_stims/animate_05_right_single_new.mp4,0,0.5635223138963911,16.523,False,,11.431,6,single animal,right,1,FALSE
PKBB_32,310,M,1,stimuli/images/unity_stims/animate_03_right_pair_new.mp4,1,0.6140927985431286,21.987,False,,10.891999999999998,6,animal pair,right,2,FALSE
PKBB_32,310,M,1,stimuli/images/unity_stims/animate_04_left_pair_new.mp4,2,0.6760825588908154,33.59,False,,19.788000000000004,6,animal pair,left,3,FALSE
PKBB_32,310,M,1,stimuli/images/unity_stims/veggie_06_nopose_single_new.mp4,3,0.3947760834950231,25.285,False,,18.69,6,veggie,no_pose,4,FALSE
PKBB_32,310,M,1,stimuli/images/unity_stims/veggie_01_nopose_single_new.mp4,4,0.4951787246023898,25.325,False,,6.396999999999999,6,veggie,no_pose,5,FALSE
PKBB_32,310,M,1,stimuli/images/unity_stims/animate_02_left_single_new.mp4,5,-1,37.56800000000001,True,average on-look confidence of iCatcher for trial is below minimum (min_icatcher_confidence),37.528,6,single animal,left,6,TRUE
PKBB_33,310,M,1,stimuli/images/unity_stims/animate_01_right_single_new.mp4,0,NA,32.327,False,,32.327,6,single animal,right,1,FALSE
PKBB_33,310,M,1,stimuli/images/unity_stims/animate_01_right_single_new.mp4,0,NA,32.327,True,trial contains an error in coded look-types,32.327,6,single animal,right,1,TRUE
PKBB_33,310,M,1,stimuli/images/unity_stims/animate_04_right_pair_new.mp4,1,NA,33.806,False,,NA,6,animal pair,right,2,TRUE
PKBB_33,310,M,1,stimuli/images/unity_stims/animate_03_left_pair_new.mp4,2,NA,26.411,False,,26.411,6,animal pair,left,3,FALSE
PKBB_33,310,M,1,stimuli/images/unity_stims/veggie_06_nopose_single_new.mp4,3,NA,38.703,False,,38.703,6,veggie,no_pose,4,FALSE
PKBB_33,310,M,1,stimuli/images/unity_stims/veggie_05_nopose_single_new.mp4,4,NA,30.787,False,,30.787,6,veggie,no_pose,5,FALSE
PKBB_33,310,M,1,stimuli/images/unity_stims/animate_02_left_single_new.mp4,5,NA,39.052,False,,39.052,6,single animal,left,6,FALSE
PKBB_34,292,M,1,stimuli/images/unity_stims/veggie_05_nopose_single_new.mp4,0,0.8775466044473679,37.192,False,,36.555,6,veggie,no_pose,1,FALSE
PKBB_34,292,M,1,stimuli/images/unity_stims/animate_06_left_single_new.mp4,1,0.815005925868555,60,False,,58.602,6,single animal,left,2,FALSE
PKBB_34,292,M,1,stimuli/images/unity_stims/animate_03_right_pair_new.mp4,2,0.8173432955929927,26.13,False,,9.564999999999998,6,animal pair,right,3,FALSE
PKBB_34,292,M,1,stimuli/images/unity_stims/veggie_04_nopose_single_new.mp4,3,0.9438558799531296,60,False,,58.763000000000005,6,veggie,no_pose,4,FALSE
PKBB_34,292,M,1,stimuli/images/unity_stims/animate_01_right_single_new.mp4,4,0.9319289868427296,23.822,False,,22.783,6,single animal,right,5,FALSE
PKBB_34,292,M,1,stimuli/images/unity_stims/animate_02_left_pair_new.mp4,5,0.9237258517416588,18.921,False,,16.183999999999994,6,animal pair,left,6,FALSE
PKBB_35,233,M,1,stimuli/images/unity_stims/animate_06_left_pair_new.mp4,0,NA,60.071,False,NA,60.071,6,animal pair,left,1,FALSE
PKBB_35,233,M,1,stimuli/images/unity_stims/animate_06_left_pair_new.mp4,0,NA,60.071,True,trial contains an error in coded look-types,60.071,6,animal pair,left,1,TRUE
PKBB_35,233,M,1,stimuli/images/unity_stims/animate_05_right_single_new.mp4,1,NA,27.702,False,NA,27.702,6,single animal,right,2,FALSE
PKBB_35,233,M,1,stimuli/images/unity_stims/veggie_04_nopose_single_new.mp4,2,NA,27.781,False,NA,NA,6,veggie,no_pose,3,TRUE
PKBB_35,233,M,1,stimuli/images/unity_stims/animate_03_right_pair_new.mp4,3,NA,26.534,False,NA,NA,6,animal pair,right,4,TRUE
PKBB_35,233,M,1,stimuli/images/unity_stims/animate_02_left_single_new.mp4,4,NA,39.744,False,NA,39.744,6,single animal,left,5,FALSE
PKBB_35,233,M,1,stimuli/images/unity_stims/veggie_01_nopose_single_new.mp4,5,NA,21.154,False,NA,21.154,6,veggie,no_pose,6,FALSE
