SubjectInfo.age_at_birth,sex,SubjectInfo.language_list,subject_num,age,SubjectInfo.sessionNumber,fam_or_test,violation_type,fam_duration,Trials.ordinal,Looks.confidence,Trials.duration,exclude,Trials.excludeReason,LT,is_violation,block_num
39 weeks,m,en es,FGYMYE,304,1,test,pose,fam9,3,0.5219280166278344,40.211,FALSE,NA,5.8859999999999975,TRUE,2
39 weeks,m,en es,FGYMYE,304,1,test,background,fam8,5,0.11241902576552495,40.168,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),1.4099999999999984,FALSE,3
39 weeks,m,en es,FGYMYE,304,1,test,number,fam8,7,NA,40.25,FALSE,NA,40.25,TRUE,4
39 weeks,m,en,FcTSN5,393,1,test,background,fam9,1,0.8210891631317864,40.25,FALSE,NA,30.47300000000001,FALSE,1
39 weeks,m,en,FcTSN5,393,1,test,number,fam9,3,0.965698273252532,40.206,FALSE,NA,40.206,TRUE,2
39 weeks,m,en,FcTSN5,393,1,test,identity,fam8,5,0.8964030062656843,40.266,FALSE,NA,22.439,TRUE,3
39 weeks,m,en,FcTSN5,393,1,test,animacy,fam8,7,0.7903596061797049,40.122,FALSE,NA,38.06200000000001,TRUE,4
37 weeks,m,en,G3DJFG,358,1,test,animacy,fam8,1,0.4946840965896387,40.133,FALSE,NA,33.246,TRUE,1
37 weeks,m,en,G3DJFG,358,1,test,background,fam9,3,0.5172489606306945,40.196,FALSE,NA,15.685999999999988,FALSE,2
37 weeks,m,en,G3DJFG,358,1,test,pose,fam8,5,0.5497093563983557,40.164,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.32000000000000384,TRUE,3
37 weeks,m,en,G3DJFG,358,1,test,number,fam9,7,0.5392207790723395,40.208,FALSE,NA,31.513,TRUE,4
39 weeks,m,en cmn,G6c77X,286,1,test,background,fam9,1,0.7598131033611543,40.191,FALSE,NA,39.59200000000001,FALSE,1
39 weeks,m,en cmn,G6c77X,286,1,test,number,fam9,3,0.8234889327689753,40.217,FALSE,NA,29.879,TRUE,2
39 weeks,m,en cmn,G6c77X,286,1,test,pose,fam9,5,0.6661529479166507,40.194,FALSE,NA,28.305,TRUE,3
39 weeks,m,en cmn,G6c77X,286,1,test,animacy,fam8,7,0.6765745306111495,40.113,FALSE,NA,36.337,TRUE,4
39 weeks,f,en,GE6KdF,197,1,test,number,fam8,1,0.7875771600349956,40.158,FALSE,NA,33.521,TRUE,1
39 weeks,f,en,GE6KdF,197,1,test,pose,fam8,3,0.6645691505371037,40.247,FALSE,NA,8.273000000000009,TRUE,2
39 weeks,f,en,GE6KdF,197,1,test,identity,fam9,5,0.7759129436656168,40.194,FALSE,NA,2.9600000000000013,TRUE,3
39 weeks,f,en,GE6KdF,197,1,test,background,fam9,7,0.7869806304979585,40.176,FALSE,NA,17.997,FALSE,4
39 weeks,m,en ur,HAMLQ7,234,1,test,identity,fam8,1,0.760324089615549,40.163,FALSE,NA,11.34,TRUE,1
39 weeks,m,en ur,HAMLQ7,234,1,test,background,fam8,3,0.8693948596748473,40.164,FALSE,NA,4.073,FALSE,2
39 weeks,m,en ur,HAMLQ7,234,1,test,animacy,fam9,5,0.9043028366916928,40.272,FALSE,NA,18.991,TRUE,3
39 weeks,m,en ur,HAMLQ7,234,1,test,pose,fam8,7,0.8028708861902909,40.221,FALSE,NA,5.442999999999998,TRUE,4
40 or more weeks,m,en,HNBDJY,183,1,test,animacy,fam9,1,0.6183324092654663,40.277,FALSE,NA,12.706,TRUE,1
40 or more weeks,m,en,HNBDJY,183,1,test,pose,fam8,3,0.5561710990955427,40.216,FALSE,NA,26.446,TRUE,2
40 or more weeks,m,en,HNBDJY,183,1,test,background,fam8,5,0.7813370985089495,40.208,FALSE,NA,3.019999999999996,FALSE,3
40 or more weeks,m,en,HNBDJY,183,1,test,number,fam9,7,0.8285292711703961,40.245,FALSE,NA,10.006999999999994,TRUE,4
39 weeks,m,en,J2KEE7,308,1,test,number,fam9,1,0.7569048385360985,40.198,FALSE,NA,8.961000000000006,TRUE,1
39 weeks,m,en,J2KEE7,308,1,test,pose,fam9,3,0.6785514272222141,40.19,FALSE,NA,8.907000000000002,TRUE,2
39 weeks,m,en,J2KEE7,308,1,test,background,fam8,5,0.6193234319305654,40.166,FALSE,NA,4.4839999999999955,FALSE,3
39 weeks,m,en,J2KEE7,308,1,test,animacy,fam8,7,0.6086240677357249,40.121,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),1.2689999999999984,TRUE,4
40 or more weeks,f,en es,JRKJGS,344,1,test,pose,fam8,1,0.662357415975911,40.189,FALSE,NA,17.201000000000004,TRUE,1
40 or more weeks,f,en es,JRKJGS,344,1,test,number,fam8,3,0.8626974758573989,40.267,FALSE,NA,36.01500000000001,TRUE,2
40 or more weeks,f,en es,JRKJGS,344,1,test,identity,fam9,5,0.7653644298788993,40.213,FALSE,NA,24.915,TRUE,3
40 or more weeks,f,en es,JRKJGS,344,1,test,background,fam8,7,0.5295033857492473,40.169,FALSE,NA,10.705999999999992,FALSE,4
39 weeks,m,en,LMcCDF,303,1,test,animacy,fam8,1,0.64065632868047,40.111,FALSE,NA,37.932,TRUE,1
39 weeks,m,en,LMcCDF,303,1,test,background,fam9,3,0.7275001289189411,40.197,FALSE,NA,36.108,FALSE,2
39 weeks,m,en,LMcCDF,303,1,test,pose,fam8,5,0.6527393251657486,40.173,FALSE,NA,5.466000000000001,TRUE,3
39 weeks,m,en,LMcCDF,303,1,test,number,fam9,7,0.8420092707649917,40.214,FALSE,NA,16.499999999999993,TRUE,4
38 weeks,f,en fr,LTJFP5,253,1,test,pose,fam9,1,0.8613517601655661,40.205,FALSE,NA,37.576,TRUE,1
38 weeks,f,en fr,LTJFP5,253,1,test,identity,fam8,3,0.6257009065558602,40.176,FALSE,NA,9.594000000000005,TRUE,2
38 weeks,f,en fr,LTJFP5,253,1,test,number,fam8,5,0.9196213466641908,40.231,FALSE,NA,10.07099999999999,TRUE,3
38 weeks,f,en fr,LTJFP5,253,1,test,background,fam9,7,0.8347179266825209,40.184,FALSE,NA,13.764999999999995,FALSE,4
