param_id,test_type,trial_number,count,sd_sample,ub_sample,lb_sample,fam_duration,LT,scaled_samples,scaled_ub_sample,scaled_lb_sample,type
11,Familiar,1,40,266.40942965767243,80.43555688053682,72.17944311946319,0,20.15585185185185,17.51372392051112,18.22522824448229,16.802219596539945,EIG
11,Familiar,2,40,285.71066520262474,78.89463262382633,70.04036737617368,1,18.24706896551724,17.196584890213476,17.95963736158268,16.433532418844273,EIG
11,Familiar,3,40,282.65573723077637,74.87604602448022,66.11645397551979,2,19.06634375,16.512107513001784,17.267001134798047,15.757213891205524,EIG
11,Familiar,4,40,292.4573833101698,71.91917410398595,62.85582589601405,3,16.999148148148148,15.976289056242113,16.75736010567855,15.195218006805678,EIG
11,Familiar,5,40,297.5138165743426,67.05377434914794,57.83372565085207,4,16.70561403508772,15.124193360028002,15.918768714233053,14.329618005822947,EIG
11,Familiar,7,40,292.72165690473366,64.63826906575883,55.56673093424117,6,14.148833333333332,14.720659797699547,15.502436647247809,13.938882948151289,EIG
11,Familiar,9,40,278.81343507612286,53.48025893577055,44.83974106422946,8,10.004521739130434,12.834630537356094,13.579262455576202,12.08999861913599,EIG
11,Familiar,10,40,299.6384136711587,54.140445322234925,44.85455467776508,9,11.712538461538461,12.892801419272104,13.693050972108278,12.092551866435933,EIG
11,Novel,2,40,352.30350999939634,89.93899944442299,79.02100055557702,1,18.61582142857143,18.922321053721706,19.863224200569356,17.981417906874057,EIG
11,Novel,3,40,383.6639325736715,91.02868422665134,79.13881577334865,2,19.665555555555557,19.02638229803812,20.051040274029134,18.001724322047103,EIG
11,Novel,4,40,421.2554794271149,94.64992127989784,81.59507872010217,3,17.75825,19.550135682992988,20.675190060738093,18.425081305247883,EIG
11,Novel,5,40,423.1010113311876,98.47726809302358,85.36523190697642,4,15.318249999999999,20.204881276114275,21.334864548198674,19.074898004029876,EIG
11,Novel,7,40,439.18265891851513,90.40145580405373,76.79104419594628,6,17.72639285714286,18.769999522186083,19.94293233179124,17.597066712580933,EIG
11,Novel,9,40,460.03297364656936,94.62078477796652,80.36421522203345,8,21.68012,19.441550036749774,20.670168146624636,18.21293192687491,EIG
11,Novel,10,40,489.57957258727293,91.85111407181084,76.67888592818917,9,19.767214285714285,18.8852640474641,20.192792775975725,17.577735318952477,EIG
12,Familiar,1,40,177.44311912924601,38.60325961670775,33.10424038329224,0,20.15585185185185,19.116993336133582,20.067858814144678,18.166127858122486,EIG
12,Familiar,2,40,185.49915590671904,36.61683919984915,30.868160800150847,1,18.24706896551724,18.38685777732266,19.380893186627105,17.392822368018216,EIG
12,Familiar,3,40,180.40504135796323,36.22790507713339,30.6370949228666,2,19.06634375,18.279650187870253,19.24638773581374,17.312912639926765,EIG
12,Familiar,4,40,181.8558639779259,32.961635806537274,27.325864193462728,3,16.999148148148148,17.142298704607057,18.11681078419094,16.167786625023176,EIG
12,Familiar,5,40,171.1045309929453,31.192542175971635,25.88995782402836,4,16.70561403508772,16.588104633324875,17.505003482098864,15.671205784550885,EIG
12,Familiar,7,40,162.15743649468044,27.218905510400777,22.193594489599228,6,14.148833333333332,15.26184300251853,16.130797003790676,14.392889001246385,EIG
12,Familiar,9,40,143.1440937620109,21.06554071245441,16.62945928754559,8,10.004521739130434,13.235706019601537,14.00277311021292,12.468638928990153,EIG
12,Familiar,10,40,143.22829586657136,20.738095437581944,16.299404562418058,9,11.712538461538461,13.122014100141932,13.889532405062413,12.35449579522145,EIG
12,Novel,2,40,209.7003375747101,42.876840394927136,36.37815960507286,1,18.61582142857143,20.422072822249735,21.54579524499315,19.29835039950632,EIG
12,Novel,3,40,212.19345071494496,40.11172158326656,33.535778416733436,2,19.665555555555557,19.45244934183949,20.589531624516944,18.315367059162035,EIG
12,Novel,4,40,218.9413223482012,39.11378093749226,32.32871906250774,3,17.75825,19.071170737416026,20.244412879194243,17.897928595637808,EIG
