trial_number,fam_duration,trial_type,mean_lt,count.x,sd_lt,ub_lt,lb_lt,param_id,count.y,sd_sample,mean_sample,ub_sample,lb_sample,scaled_samples,scaled_lb,scaled_ub,type
6,6,Familiar,2090.6919575113807,659,1915.674365404133,2236.9551511054538,1944.4287639173076,127,398,28.30524407429238,2.007160804020101,2.146204544937804,1.8681170631023976,2296.083469073669,2296.083469059765,2296.0834690875736,No Learning
6,7,Familiar,2037.4368650217707,689,1822.1416495813367,2173.4962788253943,1901.377451218147,127,398,28.30524407429238,2.007160804020101,2.146204544937804,1.8681170631023976,2296.083469073669,2296.083469059765,2296.0834690875736,No Learning
6,8,Familiar,1897.884882108183,721,1544.8548850607722,2010.650350846812,1785.1194133695542,127,398,28.30524407429238,2.007160804020101,2.146204544937804,1.8681170631023976,2296.083469073669,2296.083469059765,2296.0834690875736,No Learning
6,9,Familiar,2039.4662840746055,697,1881.9958490011556,2179.1862089660067,1899.7463591832043,127,398,28.30524407429238,2.007160804020101,2.146204544937804,1.8681170631023976,2296.083469073669,2296.083469059765,2296.0834690875736,No Learning
6,10,Familiar,2027.6647887323943,710,2003.3221633111602,2175.024137232452,1880.3054402323364,127,398,28.30524407429238,2.007160804020101,2.146204544937804,1.8681170631023976,2296.083469073669,2296.083469059765,2296.0834690875736,No Learning
7,6,Familiar,2114.5513513513515,185,1775.1069253804092,2370.3479265460046,1858.7547761566984,127,325,26.298138817474474,2.047230769230769,2.190189080302401,1.9042724581591377,2296.0834690776765,2296.0834690633806,2296.0834690919723,No Learning
7,6,Novel,2677.304651162791,430,2074.6244309148933,2873.397308302375,2481.2119940232064,127,39,9.361033456217376,2.0730769230769233,2.219975493571994,1.9261783525818523,2296.083469080261,2296.083469065571,2296.083469094951,No Learning
7,7,Familiar,1993.9637155297532,689,1738.4843238640544,2123.7764323764814,1864.150998683025,127,325,26.298138817474474,2.047230769230769,2.190189080302401,1.9042724581591377,2296.0834690776765,2296.0834690633806,2296.0834690919723,No Learning
7,8,Familiar,1926.7739251040223,721,1555.084836087815,2040.2861210814963,1813.2617291265483,127,325,26.298138817474474,2.047230769230769,2.190189080302401,1.9042724581591377,2296.0834690776765,2296.0834690633806,2296.0834690919723,No Learning
7,9,Familiar,1968.5624103299856,697,1656.4312505618395,2091.536353146651,1845.5884675133202,127,325,26.298138817474474,2.047230769230769,2.190189080302401,1.9042724581591377,2296.0834690776765,2296.0834690633806,2296.0834690919723,No Learning
7,10,Familiar,1897.1741573033707,712,1576.649465300987,2012.9855334981548,1781.3627811085867,127,325,26.298138817474474,2.047230769230769,2.190189080302401,1.9042724581591377,2296.0834690776765,2296.0834690633806,2296.0834690919723,No Learning
8,7,Familiar,2273.0684210526315,190,2214.7245413901,2587.9875118942355,1958.1493302110277,127,248,21.94322818451959,1.9838709677419355,2.1204238132871147,1.8473181221967565,2296.0834690713405,2296.0834690576853,2296.0834690849956,No Learning
8,7,Novel,2625.249452954048,457,2121.0272314574677,2819.715692277391,2430.783213630705,127,37,7.954971963958668,1.9013513513513511,2.029514706173248,1.7731879965294546,2296.0834690630886,2296.083469050272,2296.0834690759048,No Learning
